method,dataset,kir,seed,status,reason,source
MOGB-official-compatible,clinc150,0.75,87,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir75_seed87/result.json
MOGB-official-compatible,stackoverflow,0.25,13,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir25_seed13/result.json
MOGB-official-compatible,stackoverflow,0.25,42,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir25_seed42/result.json
MOGB-official-compatible,stackoverflow,0.25,87,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir25_seed87/result.json
MOGB-official-compatible,stackoverflow,0.5,13,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir50_seed13/result.json
MOGB-official-compatible,stackoverflow,0.5,42,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir50_seed42/result.json
MOGB-official-compatible,stackoverflow,0.5,87,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir50_seed87/result.json
MOGB-official-compatible,stackoverflow,0.75,13,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir75_seed13/result.json
MOGB-official-compatible,stackoverflow,0.75,42,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir75_seed42/result.json
MOGB-official-compatible,stackoverflow,0.75,87,complete,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir75_seed87/result.json
