method,dataset,kir,seed,status,reason,source
MOGB-official-compatible,clinc150,0.25,42,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/clinc150/kir25_seed42/MANIFEST.json
MOGB-official-compatible,clinc150,0.25,87,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/clinc150/kir25_seed87/MANIFEST.json
MOGB-official-compatible,clinc150,0.5,13,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/clinc150/kir50_seed13/MANIFEST.json
MOGB-official-compatible,clinc150,0.5,42,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/clinc150/kir50_seed42/MANIFEST.json
MOGB-official-compatible,clinc150,0.5,87,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/clinc150/kir50_seed87/MANIFEST.json
MOGB-official-compatible,clinc150,0.75,13,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/clinc150/kir75_seed13/MANIFEST.json
MOGB-official-compatible,clinc150,0.75,42,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/clinc150/kir75_seed42/MANIFEST.json
MOGB-official-compatible,clinc150,0.75,87,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/clinc150/kir75_seed87/MANIFEST.json
MOGB-official-compatible,stackoverflow,0.25,13,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/stackoverflow/kir25_seed13/MANIFEST.json
MOGB-official-compatible,stackoverflow,0.25,42,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/stackoverflow/kir25_seed42/MANIFEST.json
MOGB-official-compatible,stackoverflow,0.25,87,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/stackoverflow/kir25_seed87/MANIFEST.json
MOGB-official-compatible,stackoverflow,0.5,13,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/stackoverflow/kir50_seed13/MANIFEST.json
MOGB-official-compatible,stackoverflow,0.5,42,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/stackoverflow/kir50_seed42/MANIFEST.json
MOGB-official-compatible,stackoverflow,0.5,87,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/stackoverflow/kir50_seed87/MANIFEST.json
MOGB-official-compatible,stackoverflow,0.75,13,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/stackoverflow/kir75_seed13/MANIFEST.json
MOGB-official-compatible,stackoverflow,0.75,42,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/stackoverflow/kir75_seed42/MANIFEST.json
MOGB-official-compatible,stackoverflow,0.75,87,pending,,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official/stackoverflow/kir75_seed87/MANIFEST.json
