requirement_id,priority,attachment_requirement,previous_plan_stage,current_status,status,current_evidence,gap_or_next_action,stop_gate
P3-01,P3,"Compare Known/OOS score distributions with threshold, overlap, AUROC and AUPR.",Stage 5,"Score distributions, score gaps, AUROC/AUPR and threshold diagnostics exist for selected fair and MOGB controls; overlap coefficient and complete method coverage are absent.",部分完成,"figures/archive/analysis/raw_gate_error_visualization_v1/score_distributions.png; figures/archive/analysis/minilm_boundary_diagnostics_v1/score_distributions_kir050.png; results/analysis/archive/analysis/representation_geometry_visuals_v1/score_gap_false_accept.csv","Add a fixed score-direction and overlap-coefficient table, with calibration threshold and post-hoc curve labels.","Do not infer improved ranking from a threshold-only change."
P3-02,P3,"Quantify class geometry (C_y, M_y, R_y), effective rank, neighborhood preservation and correlations.",Stage 5,"Frozen/CE/SupCon geometry and several separation/error summaries exist; the requested per-intent metric family across S2C, ADB/DA-ADB and MOGB is not closed.",部分完成,"results/analysis/archive/analysis/representation_geometry_visuals_v1/geometry_summary.csv; results/analysis/archive/analysis/representation_boundary_pack_v1/representation_geometry.csv; docs/archive/analysis/STACKOVERFLOW_INTENT_MULTI_CENTER_DIAGNOSTIC_V1.md","Define the metric formulas and representation source for each method before calculating a cross-method table; mark unavailable embeddings explicitly.","No cross-backbone geometry conclusion is made from different embedding artifacts."
P3-03,P3,"Create decision-aware error UMAP with four error classes, centers/balls, high-risk intents and examples.",Stage 5,"No current UMAP output or public embedding artifact is present in the unified figure bundle; existing error-quadrant figures are not an error-aware UMAP.",未完成,"results/analysis/archive/analysis/unified_comparison_v1/figure_manifest.json; figures/archive/analysis/representation_geometry_visuals_v1/stackoverflow_error_quadrants.png","Expose a local-only, hash-registered embedding artifact and generate UMAP only as post-hoc explanation; otherwise retain an explicit blocked status.","UMAP cannot be reconstructed from score aggregates or used for selection."
P3-04,P3,"Define Very Near/Near/Medium/Far OOS bins from a fixed reference/calibration boundary and compare recall/F1.",Stage 5,"Near-OOS delta and K=1/K=2 difficulty diagnostics exist, but not a complete fixed-bin all-method analysis; current evidence is exploratory for some contracts.",部分完成,"figures/archive/analysis/representation_boundary_pack_v1/representation_near_oos_f1_k1_k2.png; results/analysis/archive/analysis/representation_geometry_visuals_v1/k_effects.csv; docs/archive/analysis/REPRESENTATION_GEOMETRY_VISUALS_V1.md","Freeze bin edges using reference/calibration data, apply them unchanged to test, and label exploratory bins when validation OOS is unavailable.","Test OOS must not define the bin edges or method selection."
P3-05,P3,"Provide intent-level false-acceptance heatmaps and geometry-to-performance correlations.",Stages 5/8,"Trainable/ADB/MOGB intent risk and Spearman diagnostics exist for subsets; DCLOOS and unified all-method coverage are missing.",部分完成,"figures/archive/analysis/stackoverflow_error_attribution_v2/stackoverflow_intent_oos_acceptor_heatmap.png; figures/archive/analysis/mogb_ball_risk_attribution_v1/intent_ball_risk_heatmap.png; docs/archive/analysis/STACKOVERFLOW_INTENT_MULTI_CENTER_DIAGNOSTIC_V1.md","Join only aligned row-level contracts and report method/contract coverage beside every heatmap or correlation.","No pooled correlation across incomparable supervision or backbone layers."
P4-01,P4,"Deliver the MOGB mechanism panel: ball count/radius, error states, component swaps, support/risk and transitions.",Stages 6/8,"MOGB ball/radius/risk, component-swap, known-rescue and Trainable-MOGB transition packages are substantially complete.",部分完成,"docs/archive/analysis/MOGB_BALL_RISK_ATTRIBUTION_V1.md; docs/archive/analysis/TRAINABLE_VS_MOGB_COMPONENT_V1.md; docs/archive/analysis/TRAINABLE_MOGB_OPEN_INTENT_TRANSITIONS_V1.md","Assemble the existing panels into the final manifest and explicitly report any missing ball-center or tiny-ball fields.","Do not rerun or overwrite the frozen MOGB matrix merely to make a panel look uniform."
P4-02,P4,"Generate DCLOOS supervision-performance frontier and supervision cost comparison.",Stage 7,"No converged fixed-registry DCLOOS frontier exists; reduced/intermediate references are correctly excluded from fair ranking.",未完成,"results/analysis/unified_prediction_contract_v1/blocked_methods.csv; docs/archive/analysis/DCLOOS_CURRENT_PROTOCOL_BLOCKER_V1.md","Close one converged fixed-registry cell, then add pseudo-only/external-only/both variants only when their supervision and cost are manifest-complete.","No frontier is drawn from timeout, smoke or validation-best intermediate predictions."
P4-03,P4,"Create paired error transitions and UpSet/Sankey-style shared error sets for comparable methods.",Stage 8,"Frozen/Trainable, Trainable/MOGB and Trainable/ADB error transitions exist; DCLOOS transitions and a complete unified UpSet/Sankey package are absent.",部分完成,"results/analysis/archive/analysis/stackoverflow_error_attribution_v2/pairwise_transition_summary.csv; results/analysis/archive/analysis/trainable_vs_adb_error_budget_v1/state_transition_counts.csv; figures/archive/analysis/stackoverflow_error_attribution_v2/stackoverflow_error_source_waterfall.png","Complete transitions only for aligned final methods and keep DCLOOS in a separate supervision layer until closed.","No transition is inferred from aggregate metrics or misaligned sample IDs."
P5-01,P5,"Run low-resource 10/25/50/75/100 percent comparisons for the core baseline set.",Stage 9,"No audited low-resource result bundle is present.",未完成,"results/analysis/archive/analysis/unified_comparison_v1/figure_manifest.json","After core baselines close, pre-register the data subsampling rule, keep calibration size/evaluator fixed, and run S2C/Frozen/KNNCL/ADB/MOGB-Fair where contracts permit.","Do not start low-resource runs while required baseline contracts are still blocked."
P5-02,P5,"Report threshold robustness with threshold, OOS F1, F1-All, Known Recall, false acceptance/rejection.",Stage 9,"Threshold/radius stability and operating-point diagnostics exist for selected Gate/MOGB controls, not as a complete all-method robustness table.",部分完成,"docs/archive/analysis/THRESHOLD_RADIUS_STABILITY_V1.md; results/analysis/archive/analysis/threshold_radius_stability_v1/threshold_sensitivity_mean_std.csv","Unify the threshold grid and method-specific score direction, then add calibration-only selected points and post-hoc curves separately.","Never select the main operating point using test OOS labels."
P5-03,P5,"Produce performance-cost Pareto with parameters, training/inference time, memory and throughput.",Stage 9,"No complete unified performance-cost Pareto is present; some external runtime diagnostics exist but do not cover the fair methods.",未完成,"docs/archive/analysis/ADB_GPU_RUNTIME_THREE_SEED_V1.md; docs/archive/analysis/DCLOOS_CURRENT_PROTOCOL_BLOCKER_V1.md","Record resource measurements in the same run manifest for the accepted core methods; report missing values instead of estimating them.","A cost comparison is blocked if runtime measurements are not reproducible or method contracts differ materially."
P5-04,P5,"Run the prescribed regression, schema, alignment, selection-leakage, figure-source and historical-artifact tests.",Stages 1/10,"Core tests and maintenance checks pass; full Ruff still reports pre-existing errors in unrelated adaptive files, and method-wide new tests are not complete.",部分完成,"tests/unit/test_unified_prediction_contract_v1.py; docs/CURRENT_STATUS.md; docs/archive/protocol_and_data/DEVELOPMENT_LOG.md","Add contract tests for each newly accepted method and keep the existing unrelated Ruff failures explicitly separated.","Do not report the full verification suite as green while known unrelated Ruff failures remain."
P5-05,P5,"Close the main eight-figure bundle and the Chinese report in the sequence performance -> errors -> score -> geometry -> boundary -> supervision -> cost.",Stage 10,"A unified report, contract manifest and partial figure bundle exist, but the eight-figure closure is not complete because missing baselines, UMAP, DCLOOS frontier, low-resource and cost evidence remain.",部分完成,"docs/analysis/UNIFIED_COMPARISON_AND_MECHANISM_REPORT_V1.md; results/analysis/archive/analysis/unified_comparison_v1/figure_manifest.json","Use the supplement plan as the execution backlog and make every absent figure an explicit blocked entry rather than a visual placeholder.","The final report may state only same-protocol fair, native-backbone, different-supervision or historical claims with matching evidence."
