dataset,seed,kir,registry_sha256,train_known,calibration_known,test_known,test_heldout_oos,test_native_oos,test_combined
clinc150,123,0.6,ee401ac1ac6c30c78089537bcedf29ff9685cf7fa500d8f1b38cce0da76f8511,9000,1800,2700,1800,1200,5700
clinc150,123,0.7,0f55e5732a30cb5a88115fbaa613529d1c64c6c610a1713cb67aa082e27c8162,10500,2100,3150,1350,1200,5700
clinc150,123,0.75,dd1eb75d19f3907f67f8cb2b6aeabd909b8402dffa7b4bd8b7b1535f57204bc8,11200,2240,3360,1140,1200,5700
clinc150,123,0.8,edc74c9d8e0c4c0041ec26571b745c739008aa3b8fbd8f8997b03faa7e8f04b2,12000,2400,3600,900,1200,5700
clinc150,123,0.9,3b4bdf51b5df0ff82fa3d0e1d639af48fd7767108ddc812d6027fb7ff32d10d3,13500,2700,4050,450,1200,5700
clinc150,13,0.1,0fe34347ae4bc176b2d3531f0121917369b2529d9f7aa4579a680edcbce0425a,1500,300,450,4050,1200,5700
clinc150,13,0.2,115ad7345a6979bdce4d62fc807cac216b8c6ebfb9f7d5bd7b7989981c80716d,3000,600,900,3600,1200,5700
clinc150,13,0.25,dd01cea2cb805cf38f7a5ab3f49cbcd816c508a2ee43b45bbd59a89b3a783034,3800,760,1140,3360,1200,5700
clinc150,13,0.3,8d7c1015ee416554026fc2c930663057ad89d3365efcb9813f2c032feeffe2ef,4500,900,1350,3150,1200,5700
clinc150,13,0.4,cc201879afd144530e30df9e0b0a150a066aa3e2ddc35cd1775baecfe34e3bd5,6000,1200,1800,2700,1200,5700
clinc150,13,0.5,2fe4c27bd6f4a50687dec811c996ed10f664c1b7bcd6b368bcce94c56a1bc625,7500,1500,2250,2250,1200,5700
clinc150,13,0.6,1caf46d50e918a843ae09e90af7235a8b0c30883c5e4e476329fe5afe9cb50a5,9000,1800,2700,1800,1200,5700
clinc150,13,0.7,0ba1070b3676578d710da031bcaac67057d224581eb58cb3473c201a80da535f,10500,2100,3150,1350,1200,5700
clinc150,13,0.75,67a04a5a3925e19691a6c1de1d8728edbe2f730f7a98c251f04c30fba9992093,11200,2240,3360,1140,1200,5700
clinc150,13,0.8,558f75af35521d2c0edf0ef40a17bff49cd66b9dd0cb446b2498ec5cb266a82d,12000,2400,3600,900,1200,5700
clinc150,13,0.9,01a7f67fc31cc41b89590aa384f7599e82bc7bf196686b41b909aec81fa2a39a,13500,2700,4050,450,1200,5700
clinc150,42,0.1,f17d93caacf7f0d9e4742a22c3fea595170aeebaf7b30858016c53d791d9e218,1500,300,450,4050,1200,5700
clinc150,42,0.2,06ead06a2586e52ba46dcdecb26da4e6974b946c58b46ae82de88301e48d792e,3000,600,900,3600,1200,5700
clinc150,42,0.25,06772bd3a58f0d9e171b6f75b0f45b5653d11af594b9532d6eda1179a4b4d56f,3800,760,1140,3360,1200,5700
clinc150,42,0.3,291caf5f56dc8838af21d5db79e9575b27045de2df796f82c570f1825e0256ad,4500,900,1350,3150,1200,5700
clinc150,42,0.4,a8c21da8c6522578c84e1918777b80bd2a47820412a12f3185d97c1e59463f0e,6000,1200,1800,2700,1200,5700
clinc150,42,0.5,b068d92cb6f0545962d273e57f4b4e1cf29d46cd923eba2b351e3e5bc22cae77,7500,1500,2250,2250,1200,5700
clinc150,42,0.6,ca55d58c683f551aeb8094d3f77db451e08c03165e36c74916e502b34558fc61,9000,1800,2700,1800,1200,5700
clinc150,42,0.7,5ffd92ae85c4e5e29334f719384cbd6e4909bdc1dd323a794a2e0663f13c92b1,10500,2100,3150,1350,1200,5700
clinc150,42,0.75,f5599f4dca0e09c73e0ec3a5ab6009c5c4d2259dbf09eb4874ebcc81150ed641,11200,2240,3360,1140,1200,5700
clinc150,42,0.8,f9a52ad7c81359656ac54ec331b017bf14493bce6a408d65cf18f5e8ab6931da,12000,2400,3600,900,1200,5700
clinc150,42,0.9,dd983ec0daf80fce985c8bae50bf67332bbcec3121db7909341f42316afa628e,13500,2700,4050,450,1200,5700
clinc150,87,0.1,0b9aee13c77c2b8f90e669b0eaec4db5f504c373808559e7d337d826fb5f7ad6,1500,300,450,4050,1200,5700
clinc150,87,0.2,c586bf41ff7d3f4dbcd205bfe4e4ec91ec3f92d1031589c6eee81db0e2110792,3000,600,900,3600,1200,5700
clinc150,87,0.25,087c79c013c43865a76e7ba59074a3e0574946adc864d284f7d504eebf7a9bae,3800,760,1140,3360,1200,5700
clinc150,87,0.3,1158f66dbb8691dfbf6e8f699eb1edff1c296f6f66b080aed4d67a0212409610,4500,900,1350,3150,1200,5700
clinc150,87,0.4,c1453041ae5e08d0a503fdbbf94eb0d2e3b2b769799f78599c836415fe3ce2be,6000,1200,1800,2700,1200,5700
clinc150,87,0.5,af68be8951b4e0ad67045440ecadf3185234a9e1f212ec86a7b493b35b55920d,7500,1500,2250,2250,1200,5700
clinc150,87,0.6,f0e68931ef3a674483cdf8a56b94164243b256b9b1533f35c615c7aa9fc73c72,9000,1800,2700,1800,1200,5700
clinc150,87,0.7,e5acda3b430c3b1721bbb7fd187d86c84300198bf930baf352cdfca3bf656d33,10500,2100,3150,1350,1200,5700
clinc150,87,0.75,939f930cde37de87c960a676b1c7482c9451189505d4e7209bb94d5ac135c8be,11200,2240,3360,1140,1200,5700
clinc150,87,0.8,aafe7bdf81a81ef6c8daa199da2f157823c3bb7fd50a13fd9bf8d7e7f214687f,12000,2400,3600,900,1200,5700
clinc150,87,0.9,db144841301e72784c142e30556c00821545a7547b320f5cba6c8880c0713d1f,13500,2700,4050,450,1200,5700
stackoverflow,100,0.1,8c358d33e085da7e18d90d3137ad46d5d6054a3eb3863799e200a32a2382fb4e,1200,200,600,5400,0,6000
stackoverflow,100,0.2,7bdb34d33df4069a734640a6bcb201db82958420f8b61cade37dc92a3131b586,2400,400,1200,4800,0,6000
stackoverflow,100,0.25,729745df06b1313cbd60205c76e4f28016fbc89764c28364f62a0f690ec58980,3000,500,1500,4500,0,6000
stackoverflow,100,0.3,6543c538a94786e1eed269cc5da69a38318069d779cb4c07d8889253d777aa7c,3600,600,1800,4200,0,6000
stackoverflow,100,0.4,ed997f7e15a03945f96ebb3f62ce9d24a2622e257cac65f73df79ba32056b75a,4800,800,2400,3600,0,6000
stackoverflow,100,0.5,e09c0fafcae153bd62990b8bc1ea322792bb27f68d710a838a76588185011031,6000,1000,3000,3000,0,6000
stackoverflow,100,0.6,4da798c18b61e0cbf0be905e56f174b7fa16cfabe5b9733fc0fde61dba7d8486,7200,1200,3600,2400,0,6000
stackoverflow,100,0.7,6d954207b3ff34d23e6f45772f0b17d1b1a4b3d8a3a8a47b024f16d9d4751dfa,8400,1400,4200,1800,0,6000
stackoverflow,100,0.75,c0ef4b2737ece5ad3dc09d9ab571df86358dcb667396f2aadd8536555647cb04,9000,1500,4500,1500,0,6000
stackoverflow,100,0.8,f15e668638264c6508d2a01508997893c5e57470fa4d184400c667d42487fb6d,9600,1600,4800,1200,0,6000
stackoverflow,100,0.9,230cdd61ae50421fceb262b6aab24965dbfbbfa82786a7591185533eb1cce0c0,10800,1800,5400,600,0,6000
stackoverflow,123,0.1,4841e08d5a784f228ed42da1e6790ea4dd2a261d1fb1cbff2822a4a1f0adb825,1200,200,600,5400,0,6000
stackoverflow,123,0.2,70659e71b1e80741edaa0d90cc12ae553cc97066c7f0dc8c41881e8febb0dbf9,2400,400,1200,4800,0,6000
stackoverflow,123,0.25,56e04107a84cb21282baf87bbeff61aaffb21fc22e0bf06c57fdf922cce088ef,3000,500,1500,4500,0,6000
stackoverflow,123,0.3,5e65123bcf8d2bbe1873dda8dc6330e613e03d819f537098d27d77c2ed016a02,3600,600,1800,4200,0,6000
stackoverflow,123,0.4,b98057c080282a1a63fbe335140f0356a0c9b8f402666d36b71ed1aa5cc6da61,4800,800,2400,3600,0,6000
stackoverflow,123,0.5,c096444f3a90a7694cfe29d0fc154a0ae817a1c286b943d47ef5bb3c2b19083f,6000,1000,3000,3000,0,6000
stackoverflow,123,0.6,bdf059d0a481bc37aea6397abb9e82d833e3c1488bc4558b4a28bb5aa652c0d8,7200,1200,3600,2400,0,6000
stackoverflow,123,0.7,a7bdd8437aa9f4b752d1334b71f959ee9e84a5ed78c65748ea29ec740eb5584b,8400,1400,4200,1800,0,6000
stackoverflow,123,0.75,7e5451c2fc73b934c06eb73e8eff8c7009ecd8e8902a69aa6563a82bfc8300fe,9000,1500,4500,1500,0,6000
stackoverflow,123,0.8,40342b1c5ffa8356312714f4e8c382b9ba551786ea122eeb87830264e42ac9c6,9600,1600,4800,1200,0,6000
stackoverflow,123,0.9,d15f29f32c771199fd06830d511fddc5c15e92ec842acdc89d5dca709facef8b,10800,1800,5400,600,0,6000
stackoverflow,13,0.1,aa75a67535eed604e96c52d544a03640df4c74d3eba2f958cda5cae26e9a28d3,1200,200,600,5400,0,6000
stackoverflow,13,0.2,d2ec3fbd68c6d413e992db4e1bd9ba7f20fd209b16b809a96e48888ebf945791,2400,400,1200,4800,0,6000
stackoverflow,13,0.25,b712dfec8bf4dba76b48f9322d4846bddc3cebeeb4f1bbe532a5b7041375f672,3000,500,1500,4500,0,6000
stackoverflow,13,0.3,f5a04665cc370c6ecedc1713ac843a9ef5f83e068b94c9e506953d72ef884706,3600,600,1800,4200,0,6000
stackoverflow,13,0.4,cdcca028c1459649edaddd5807d6b8b66d49688c46a489a3a6d6d77871195bca,4800,800,2400,3600,0,6000
stackoverflow,13,0.5,bc2be8ef6e73e0343a56a93be7013ef0f8ed38deda3be1e2084503dc3cc1cec5,6000,1000,3000,3000,0,6000
stackoverflow,13,0.6,78848afa55a6c6f3fd48af092438b80c3c6404a09563db37ed172213f15e050f,7200,1200,3600,2400,0,6000
stackoverflow,13,0.7,3fd0abde97635dd5707f01a225e438e6848aaa7dcf9f3e47d9bf2f411bdd7048,8400,1400,4200,1800,0,6000
stackoverflow,13,0.75,f737dc34ad54a6977ca7f22a690265028177d6b561556547d0202c318b21e7ac,9000,1500,4500,1500,0,6000
stackoverflow,13,0.8,e29a2be6b72c3e24645f04ce0ab4f5e17ee7b0bdd1f800cb5102ffeb2558bed9,9600,1600,4800,1200,0,6000
stackoverflow,13,0.9,33f8dae393b107768961c876bffcda9576702a686b42e13360a18dcc2779a888,10800,1800,5400,600,0,6000
stackoverflow,42,0.1,d4108bd068eeab3e9a10fcbfa1a916eeeda8d7b4ead3334b7fb42823a0368a43,1200,200,600,5400,0,6000
stackoverflow,42,0.2,3462507230556ba01494ab7170c23304cf09ce6f150492b7b9b9b9fe528ddfd5,2400,400,1200,4800,0,6000
stackoverflow,42,0.25,35245b5c8e843c159fb2fb0c81bb36d51ae5c12d33b8987581d6473c67c01a88,3000,500,1500,4500,0,6000
stackoverflow,42,0.3,747090b8ec7cc82fcfe9fc99fc528ee57f3ef74632e7d5e78570110e767c80aa,3600,600,1800,4200,0,6000
stackoverflow,42,0.4,ae44044a61a64224972457c66d93036949a44f9e7aabf773e131c60df4b5da5e,4800,800,2400,3600,0,6000
stackoverflow,42,0.5,64b3da008c4a92d9ea96111d1040d9569843820ddc0c353eaee9eb2d7347bdd5,6000,1000,3000,3000,0,6000
stackoverflow,42,0.6,0f35b7b6883081e93d826a2ce3562120d02be93c319e5fd229da639055c24296,7200,1200,3600,2400,0,6000
stackoverflow,42,0.7,2a29db7c947c26133f377ac0bee148e5532fc12c370a5f55df738284573dd1a7,8400,1400,4200,1800,0,6000
stackoverflow,42,0.75,b72c2e82be91a7ddfb39a3e689d52bf95c38b4e6ba49e157bc3a135325a55476,9000,1500,4500,1500,0,6000
stackoverflow,42,0.8,38a058feb954844e24b03dc0c2df768de682dd7ee168349473f31dec30559f58,9600,1600,4800,1200,0,6000
stackoverflow,42,0.9,b1cecbbb6dbe365336d12bb86441fe53d8496f5d91d5a43297a152c207bb0b56,10800,1800,5400,600,0,6000
stackoverflow,87,0.1,1328cc6926c24c5337dd83562eef9e4e082fc945ada0459763768e551e8daa03,1200,200,600,5400,0,6000
stackoverflow,87,0.2,0790f20acd9da12a7ef301c3c21547d290b791cad93e88dda2444337bd078b0b,2400,400,1200,4800,0,6000
stackoverflow,87,0.25,a840a4b694d65597f6e146e0f6b0cfdb281339a5160e8f00922f5b16bfd468f6,3000,500,1500,4500,0,6000
stackoverflow,87,0.3,8f1d08cda29a0c116a77e654ae988f92524d433a0ac0cc919b4c00e6d016f422,3600,600,1800,4200,0,6000
stackoverflow,87,0.4,a1362b836044ac15f41261732d4fb7438fa49c7f5439385987e97cf2a1564dfb,4800,800,2400,3600,0,6000
stackoverflow,87,0.5,c15576bab5fb866fa98fd609c7d845c3d69c5fa7d766257476f46c85f0af8db9,6000,1000,3000,3000,0,6000
stackoverflow,87,0.6,31d6b6e4b0883113e47ecad86e1a25b2259a0cc39919d25314845eef6d798887,7200,1200,3600,2400,0,6000
stackoverflow,87,0.7,faad16f868104915e70cfaaa4a0a5d84f3dead61a84f5f34b45941900624b6b5,8400,1400,4200,1800,0,6000
stackoverflow,87,0.75,6e7024b6519155b5e63126aff7741a481282812282be27e6f11e7a65af48fb8e,9000,1500,4500,1500,0,6000
stackoverflow,87,0.8,635f9cf26dbc4dd43acb8a0b00a784de607f0d5937d8688e2e8b1903fe9a83c2,9600,1600,4800,1200,0,6000
stackoverflow,87,0.9,43725d40aa481b7400fceb153fbd8def8e03545ea15bfa933fbfcfe5f117a105,10800,1800,5400,600,0,6000
